,ds,trend,yhat,status,country,state,MAE_per_state_status,parameters
0,2020-11-18,40816.88626470575,40962.0,Confirmed,Canada,Alberta,290.52471014755844,default parameters
1,2020-11-19,41850.90082563192,41692.0,Confirmed,Canada,Alberta,290.52471014755844,default parameters
2,2020-11-20,43054.81346008276,42797.00000000001,Confirmed,Canada,Alberta,290.52471014755844,default parameters
3,2020-11-21,44045.82802100779,43952.0,Confirmed,Canada,Alberta,290.52471014755844,default parameters
4,2020-11-22,45365.84258193241,45287.99999999999,Confirmed,Canada,Alberta,290.52471014755844,default parameters
5,2020-11-23,46806.85714285687,46872.0,Confirmed,Canada,Alberta,290.52471014755844,default parameters
6,2020-11-24,48042.87170378201,48421.0,Confirmed,Canada,Alberta,290.52471014755844,default parameters
7,2020-11-25,49390.88626470605,49536.000000000015,Confirmed,Canada,Alberta,290.52471014755844,default parameters
8,2020-11-26,50959.90082563202,50801.0,Confirmed,Canada,Alberta,290.52471014755844,default parameters
9,2020-11-27,52135.81346008261,51878.0,Confirmed,Canada,Alberta,290.52471014755844,default parameters
10,2020-11-28,53198.828021007794,53104.99999999999,Confirmed,Canada,Alberta,290.52471014755844,default parameters
11,2020-11-29,54913.842581932506,54836.000000000015,Confirmed,Canada,Alberta,290.52471014755844,default parameters
12,2020-11-30,56378.85714285648,56444.00000000001,Confirmed,Canada,Alberta,290.52471014755844,default parameters
13,2020-12-01,57798.87170378179,58177.000000000015,Confirmed,Canada,Alberta,290.52471014755844,default parameters
14,2020-12-02,59338.88626470632,59484.00000000001,Confirmed,Canada,Alberta,290.52471014755844,default parameters
15,2020-12-03,61327.90082563236,61169.000000000015,Confirmed,Canada,Alberta,290.52471014755844,default parameters
16,2020-12-04,63280.813460083016,63023.00000000002,Confirmed,Canada,Alberta,290.52471014755844,default parameters
17,2020-12-05,64944.82802100757,64851.00000000002,Confirmed,Canada,Alberta,290.52471014755844,default parameters
18,2020-12-06,66807.84258193242,66730.00000000001,Confirmed,Canada,Alberta,290.52471014755844,default parameters
19,2020-12-07,68500.8571428573,68566.00000000001,Confirmed,Canada,Alberta,290.52471014755844,default parameters
20,2020-12-08,69922.87170378181,70301.00000000001,Confirmed,Canada,Alberta,290.52471014755844,default parameters
