,Date,State,Country,Confirmed
0,2020-11-16,Australian Capital Territory,Australia,114
1,2020-11-16,New South Wales,Australia,4498
2,2020-11-16,Northern Territory,Australia,46
3,2020-11-16,Queensland,Australia,1185
4,2020-11-16,South Australia,Australia,544
5,2020-11-16,Tasmania,Australia,230
6,2020-11-16,Victoria,Australia,20345
7,2020-11-16,Western Australia,Australia,787
8,2020-11-16,Antwerp,Belgium,62216
9,2020-11-16,Brussels,Belgium,72592
10,2020-11-16,East Flanders,Belgium,48444
11,2020-11-16,Flemish Brabant,Belgium,41165
12,2020-11-16,Hainaut,Belgium,86262
13,2020-11-16,Liege,Belgium,87228
14,2020-11-16,Limburg,Belgium,22014
15,2020-11-16,Luxembourg,Belgium,14877
16,2020-11-16,Namur,Belgium,30287
17,2020-11-16,Unknown,Belgium,8857
18,2020-11-16,Walloon Brabant,Belgium,21904
19,2020-11-16,West Flanders,Belgium,40093
20,2020-11-16,Acre,Brazil,33156
21,2020-11-16,Alagoas,Brazil,92596
22,2020-11-16,Amapa,Brazil,54979
23,2020-11-16,Amazonas,Brazil,169333
24,2020-11-16,Bahia,Brazil,374009
25,2020-11-16,Ceara,Brazil,285301
26,2020-11-16,Distrito Federal,Brazil,219992
27,2020-11-16,Espirito Santo,Brazil,169928
28,2020-11-16,Goias,Brazil,267603
29,2020-11-16,Maranhao,Brazil,189590
30,2020-11-16,Mato Grosso,Brazil,151582
31,2020-11-16,Mato Grosso do Sul,Brazil,87935
32,2020-11-16,Minas Gerais,Brazil,382882
33,2020-11-16,Para,Brazil,261788
34,2020-11-16,Paraiba,Brazil,138546
35,2020-11-16,Parana,Brazil,239107
36,2020-11-16,Pernambuco,Brazil,170860
37,2020-11-16,Piaui,Brazil,120172
38,2020-11-16,Rio Grande do Norte,Brazil,83646
39,2020-11-16,Rio Grande do Sul,Brazil,278707
40,2020-11-16,Rio de Janeiro,Brazil,326956
41,2020-11-16,Rondonia,Brazil,75182
42,2020-11-16,Roraima,Brazil,60535
43,2020-11-16,Santa Catarina,Brazil,295946
44,2020-11-16,Sao Paulo,Brazil,1168640
45,2020-11-16,Sergipe,Brazil,86045
46,2020-11-16,Tocantins,Brazil,78077
47,2020-11-16,Alberta,Canada,39329
48,2020-11-16,British Columbia,Canada,20986
49,2020-11-16,Diamond Princess,Canada,0
50,2020-11-16,Grand Princess,Canada,13
51,2020-11-16,Manitoba,Canada,10947
52,2020-11-16,New Brunswick,Canada,367
53,2020-11-16,Newfoundland and Labrador,Canada,303
54,2020-11-16,Northwest Territories,Canada,15
55,2020-11-16,Nova Scotia,Canada,1144
56,2020-11-16,Nunavut,Canada,18
57,2020-11-16,Ontario,Canada,97371
58,2020-11-16,Prince Edward Island,Canada,68
59,2020-11-16,Quebec,Canada,123854
60,2020-11-16,Saskatchewan,Canada,5001
61,2020-11-16,Yukon,Canada,24
62,2020-11-16,Antofagasta,Chile,21861
63,2020-11-16,Araucania,Chile,15207
64,2020-11-16,Arica y Parinacota,Chile,10000
65,2020-11-16,Atacama,Chile,7977
66,2020-11-16,Aysen,Chile,1163
67,2020-11-16,Biobio,Chile,32850
68,2020-11-16,Coquimbo,Chile,12840
69,2020-11-16,Los Lagos,Chile,18036
70,2020-11-16,Los Rios,Chile,4823
71,2020-11-16,Magallanes,Chile,13355
72,2020-11-16,Maule,Chile,20027
73,2020-11-16,Metropolitana,Chile,300954
74,2020-11-16,Nuble,Chile,8028
75,2020-11-16,OHiggins,Chile,19264
76,2020-11-16,Tarapaca,Chile,13419
77,2020-11-16,Unknown,Chile,46
78,2020-11-16,Valparaiso,Chile,31423
79,2020-11-16,Anhui,China,992
80,2020-11-16,Beijing,China,947
81,2020-11-16,Chongqing,China,589
82,2020-11-16,Fujian,China,461
83,2020-11-16,Gansu,China,181
84,2020-11-16,Guangdong,China,1968
85,2020-11-16,Guangxi,China,260
86,2020-11-16,Guizhou,China,147
87,2020-11-16,Hainan,China,171
88,2020-11-16,Hebei,China,373
89,2020-11-16,Heilongjiang,China,949
90,2020-11-16,Henan,China,1288
91,2020-11-16,Hong Kong,China,5458
92,2020-11-16,Hubei,China,68148
93,2020-11-16,Hunan,China,1020
94,2020-11-16,Inner Mongolia,China,307
95,2020-11-16,Jiangsu,China,677
96,2020-11-16,Jiangxi,China,935
97,2020-11-16,Jilin,China,157
98,2020-11-16,Liaoning,China,288
99,2020-11-16,Macau,China,46
100,2020-11-16,Ningxia,China,75
101,2020-11-16,Qinghai,China,18
102,2020-11-16,Shaanxi,China,487
103,2020-11-16,Shandong,China,848
104,2020-11-16,Shanghai,China,1277
105,2020-11-16,Shanxi,China,219
106,2020-11-16,Sichuan,China,786
107,2020-11-16,Tianjin,China,289
108,2020-11-16,Tibet,China,1
109,2020-11-16,Xinjiang,China,980
110,2020-11-16,Yunnan,China,217
111,2020-11-16,Zhejiang,China,1291
112,2020-11-16,Amazonas,Colombia,2999
113,2020-11-16,Antioquia,Colombia,194398
114,2020-11-16,Arauca,Colombia,3791
115,2020-11-16,Atlantico,Colombia,74627
116,2020-11-16,Bolivar,Colombia,35025
117,2020-11-16,Boyaca,Colombia,18382
118,2020-11-16,Caldas,Colombia,20268
119,2020-11-16,Capital District,Colombia,346711
120,2020-11-16,Caqueta,Colombia,12437
121,2020-11-16,Casanare,Colombia,5984
122,2020-11-16,Cauca,Colombia,14665
123,2020-11-16,Cesar,Colombia,27979
124,2020-11-16,Choco,Colombia,4406
125,2020-11-16,Cordoba,Colombia,27546
126,2020-11-16,Cundinamarca,Colombia,47258
127,2020-11-16,Guainia,Colombia,1167
128,2020-11-16,Guaviare,Colombia,1690
129,2020-11-16,Huila,Colombia,27302
130,2020-11-16,La Guajira,Colombia,10991
131,2020-11-16,Magdalena,Colombia,18548
132,2020-11-16,Meta,Colombia,25640
133,2020-11-16,Narino,Colombia,23821
134,2020-11-16,Norte de Santander,Colombia,24803
135,2020-11-16,Putumayo,Colombia,4668
136,2020-11-16,Quindio,Colombia,14143
137,2020-11-16,Risaralda,Colombia,20444
138,2020-11-16,San Andres y Providencia,Colombia,1988
139,2020-11-16,Santander,Colombia,48009
140,2020-11-16,Sucre,Colombia,16103
141,2020-11-16,Tolima,Colombia,24801
142,2020-11-16,Unknown,Colombia,0
143,2020-11-16,Valle del Cauca,Colombia,96171
144,2020-11-16,Vaupes,Colombia,1114
145,2020-11-16,Vichada,Colombia,867
146,2020-11-16,Faroe Islands,Denmark,498
147,2020-11-16,Greenland,Denmark,18
148,2020-11-16,French Guiana,France,10844
149,2020-11-16,French Polynesia,France,11706
150,2020-11-16,Guadeloupe,France,8098
151,2020-11-16,Martinique,France,4732
152,2020-11-16,Mayotte,France,4921
153,2020-11-16,New Caledonia,France,30
154,2020-11-16,Reunion,France,6881
155,2020-11-16,Saint Barthelemy,France,109
156,2020-11-16,Saint Pierre and Miquelon,France,16
157,2020-11-16,St Martin,France,655
158,2020-11-16,Baden-Wurttemberg,Germany,116996
159,2020-11-16,Bayern,Germany,158849
160,2020-11-16,Berlin,Germany,47697
161,2020-11-16,Brandenburg,Germany,13708
162,2020-11-16,Bremen,Germany,8303
163,2020-11-16,Hamburg,Germany,20221
164,2020-11-16,Hessen,Germany,65479
165,2020-11-16,Mecklenburg-Vorpommern,Germany,4435
166,2020-11-16,Niedersachsen,Germany,55433
167,2020-11-16,Nordrhein-Westfalen,Germany,202817
168,2020-11-16,Rheinland-Pfalz,Germany,32563
169,2020-11-16,Saarland,Germany,10473
170,2020-11-16,Sachsen,Germany,34970
171,2020-11-16,Sachsen-Anhalt,Germany,8166
172,2020-11-16,Schleswig-Holstein,Germany,11522
173,2020-11-16,Thuringen,Germany,10982
174,2020-11-16,Unknown,Germany,332
175,2020-11-16,Andaman and Nicobar Islands,India,4536
176,2020-11-16,Andhra Pradesh,India,854011
177,2020-11-16,Arunachal Pradesh,India,15812
178,2020-11-16,Assam,India,210268
179,2020-11-16,Bihar,India,225901
180,2020-11-16,Chandigarh,India,15804
181,2020-11-16,Chhattisgarh,India,210534
182,2020-11-16,Dadra and Nagar Haveli and Daman and Diu,India,3291
183,2020-11-16,Delhi,India,485405
184,2020-11-16,Goa,India,45903
185,2020-11-16,Gujarat,India,188310
186,2020-11-16,Haryana,India,199874
187,2020-11-16,Himachal Pradesh,India,29713
188,2020-11-16,Jammu and Kashmir,India,102619
189,2020-11-16,Jharkhand,India,106064
