,Date,State,Country,Deaths
0,2020-11-18,Australian Capital Territory,Australia,3
1,2020-11-18,New South Wales,Australia,53
2,2020-11-18,Northern Territory,Australia,0
3,2020-11-18,Queensland,Australia,6
4,2020-11-18,South Australia,Australia,4
5,2020-11-18,Tasmania,Australia,13
6,2020-11-18,Victoria,Australia,819
7,2020-11-18,Western Australia,Australia,9
8,2020-11-18,Antwerp,Belgium,0
9,2020-11-18,Brussels,Belgium,0
10,2020-11-18,East Flanders,Belgium,0
11,2020-11-18,Flemish Brabant,Belgium,0
12,2020-11-18,Hainaut,Belgium,0
13,2020-11-18,Liege,Belgium,0
14,2020-11-18,Limburg,Belgium,0
15,2020-11-18,Luxembourg,Belgium,0
16,2020-11-18,Namur,Belgium,0
17,2020-11-18,Unknown,Belgium,14839
18,2020-11-18,Walloon Brabant,Belgium,0
19,2020-11-18,West Flanders,Belgium,0
20,2020-11-18,Acre,Brazil,709
21,2020-11-18,Alagoas,Brazil,2301
22,2020-11-18,Amapa,Brazil,782
23,2020-11-18,Amazonas,Brazil,4723
24,2020-11-18,Bahia,Brazil,7989
25,2020-11-18,Ceara,Brazil,9448
26,2020-11-18,Distrito Federal,Brazil,3837
27,2020-11-18,Espirito Santo,Brazil,4037
28,2020-11-18,Goias,Brazil,6071
29,2020-11-18,Maranhao,Brazil,4195
30,2020-11-18,Mato Grosso,Brazil,4001
31,2020-11-18,Mato Grosso do Sul,Brazil,1697
32,2020-11-18,Minas Gerais,Brazil,9531
33,2020-11-18,Para,Brazil,6838
34,2020-11-18,Paraiba,Brazil,3216
35,2020-11-18,Parana,Brazil,5758
36,2020-11-18,Pernambuco,Brazil,8854
37,2020-11-18,Piaui,Brazil,2541
38,2020-11-18,Rio Grande do Norte,Brazil,2643
39,2020-11-18,Rio Grande do Sul,Brazil,6314
40,2020-11-18,Rio de Janeiro,Brazil,21474
41,2020-11-18,Rondonia,Brazil,1508
42,2020-11-18,Roraima,Brazil,709
43,2020-11-18,Santa Catarina,Brazil,3370
44,2020-11-18,Sao Paulo,Brazil,40749
45,2020-11-18,Sergipe,Brazil,2263
46,2020-11-18,Tocantins,Brazil,1141
47,2020-11-18,Alberta,Canada,432
48,2020-11-18,British Columbia,Canada,310
49,2020-11-18,Diamond Princess,Canada,1
50,2020-11-18,Grand Princess,Canada,0
51,2020-11-18,Manitoba,Canada,179
52,2020-11-18,New Brunswick,Canada,6
53,2020-11-18,Newfoundland and Labrador,Canada,4
54,2020-11-18,Northwest Territories,Canada,0
55,2020-11-18,Nova Scotia,Canada,65
56,2020-11-18,Nunavut,Canada,0
57,2020-11-18,Ontario,Canada,3432
58,2020-11-18,Prince Edward Island,Canada,0
59,2020-11-18,Quebec,Canada,6675
60,2020-11-18,Saskatchewan,Canada,31
61,2020-11-18,Yukon,Canada,1
