,Date,State,Country,Recovered
0,2020-11-16,Australian Capital Territory,Australia,111
1,2020-11-16,New South Wales,Australia,3156
2,2020-11-16,Northern Territory,Australia,38
3,2020-11-16,Queensland,Australia,1171
4,2020-11-16,South Australia,Australia,495
5,2020-11-16,Tasmania,Australia,217
6,2020-11-16,Victoria,Australia,19523
7,2020-11-16,Western Australia,Australia,757
8,2020-11-16,Antwerp,Belgium,0
9,2020-11-16,Brussels,Belgium,0
10,2020-11-16,East Flanders,Belgium,0
11,2020-11-16,Flemish Brabant,Belgium,0
12,2020-11-16,Hainaut,Belgium,0
13,2020-11-16,Liege,Belgium,0
14,2020-11-16,Limburg,Belgium,0
15,2020-11-16,Luxembourg,Belgium,0
16,2020-11-16,Namur,Belgium,0
17,2020-11-16,Unknown,Belgium,0
18,2020-11-16,Walloon Brabant,Belgium,0
19,2020-11-16,West Flanders,Belgium,0
20,2020-11-16,Acre,Brazil,29425
21,2020-11-16,Alagoas,Brazil,89139
22,2020-11-16,Amapa,Brazil,45521
23,2020-11-16,Amazonas,Brazil,144258
24,2020-11-16,Bahia,Brazil,356425
25,2020-11-16,Ceara,Brazil,241466
26,2020-11-16,Distrito Federal,Brazil,210836
27,2020-11-16,Espirito Santo,Brazil,156968
28,2020-11-16,Goias,Brazil,257865
29,2020-11-16,Maranhao,Brazil,182795
30,2020-11-16,Mato Grosso,Brazil,142755
31,2020-11-16,Mato Grosso do Sul,Brazil,81625
32,2020-11-16,Minas Gerais,Brazil,352001
33,2020-11-16,Para,Brazil,244543
34,2020-11-16,Paraiba,Brazil,112055
35,2020-11-16,Parana,Brazil,171523
36,2020-11-16,Pernambuco,Brazil,151016
37,2020-11-16,Piaui,Brazil,116994
38,2020-11-16,Rio Grande do Norte,Brazil,47160
39,2020-11-16,Rio Grande do Sul,Brazil,254703
40,2020-11-16,Rio de Janeiro,Brazil,297514
41,2020-11-16,Rondonia,Brazil,67037
42,2020-11-16,Roraima,Brazil,55878
43,2020-11-16,Santa Catarina,Brazil,270580
44,2020-11-16,Sao Paulo,Brazil,1051778
45,2020-11-16,Sergipe,Brazil,78367
46,2020-11-16,Tocantins,Brazil,69225
47,2020-11-16,Alberta,Canada,29304
48,2020-11-16,British Columbia,Canada,15117
49,2020-11-16,Diamond Princess,Canada,0
50,2020-11-16,Grand Princess,Canada,13
51,2020-11-16,Manitoba,Canada,4070
52,2020-11-16,New Brunswick,Canada,339
53,2020-11-16,Newfoundland and Labrador,Canada,289
54,2020-11-16,Northwest Territories,Canada,10
55,2020-11-16,Nova Scotia,Canada,1058
56,2020-11-16,Nunavut,Canada,0
57,2020-11-16,Ontario,Canada,82137
58,2020-11-16,Prince Edward Island,Canada,64
59,2020-11-16,Quebec,Canada,104848
60,2020-11-16,Saskatchewan,Canada,3163
61,2020-11-16,Yukon,Canada,22
62,2020-11-16,Antofagasta,Chile,21065
63,2020-11-16,Araucania,Chile,13977
